public_id,category_slug,target_count,body,synonyms,hint_seeds_ru,frame_hint_ru,complexity,primary_class,playlist_slugs,onboarding_safe,team_safe
qtx-0001,reflection,10,Какие 10 вопросов ты задавал себе в последние 7 дней?,"Какие вопросы чаще всего возвращались к тебе на этой неделе? | Вспомни 10 вопросов, с которыми ты жил последние семь дней.",,,working,retrieval,memory_sparks | reflection_loop,true,false
qtx-0002,memory,7,Какие 7 запахов мгновенно возвращают тебя в детство?,"Какие запахи сильнее всего открывают тебе детские воспоминания? | Назови семь запахов, которые сразу переносят тебя в детство.",разговор | погода | голос,,developmental,retrieval,memory_sparks | deep_session_entry,false,false
qtx-0003,work,5,Какие 5 задач ты откладывал дольше всего за последний месяц?,"Какие дела сильнее всего зависли у тебя в прошлом месяце? | Вспомни пять задач, которые ты дольше всего не решался начать.",,,working,retrieval,work_clarity | reflection_loop,true,false
qtx-0004,morning,8,Какие 8 мест в твоем городе сильнее всего меняют твое настроение?,"Назови восемь мест в городе, которые заметно перестраивают твое состояние. | Какие городские точки сильнее всего влияют на твое настроение?",,,basic,retrieval,morning_reset | memory_sparks | children_curiosity,true,true
qtx-0005,memory,6,Какие 6 разговоров за последний год изменили твой способ думать?,"Какие разговоры в прошлом году заметно перестроили твое мышление? | Вспомни шесть бесед, после которых ты думал иначе, чем раньше.",голос | касание | погода,,developmental,retrieval,memory_sparks | deep_session_entry,false,false
qtx-0006,morning,10,Какие 10 предметов в твоем рабочем пространстве чаще всего попадают в поле зрения?,"Какие вещи на рабочем месте ты замечаешь чаще всего? | Назови десять предметов, которые постоянно оказываются перед твоими глазами во время работы.",,,basic,retrieval,morning_reset | work_clarity,true,true
qtx-0007,morning,5,Как выглядит для тебя удачное утро в деталях?,"Опиши свое удачное утро так, чтобы его можно было почти увидеть. | Что именно составляет для тебя хорошее утро, если развернуть его в подробностях?",у окна | ощущение в груди | тихий момент,,developmental,descriptive,morning_reset | children_curiosity,true,true
qtx-0008,reflection,5,Что именно происходит в твоей голове за минуту до важного решения?,"Опиши, что творится у тебя внутри прямо перед важным выбором. | Как устроена твоя внутренняя картина в минуту перед серьезным решением?",в избегании | в дыхании | в голосе,"Не оценивай ответы, просто фиксируй их по факту.",advanced,descriptive,reflection_loop | deep_session_entry,false,false
qtx-0009,philosophy,5,"Какие признаки делают вопрос живым, а не формальным?","По каким признакам можно почувствовать, что вопрос живой, а не дежурный? | Что отличает живой вопрос от просто правильной формулировки?",если включить тело | в крайнем случае | если поменять слово,"Опирайся на свой опыт, а не на правильное звучание.",developmental,descriptive,question_about_questions | team_safe_openers,true,true
qtx-0010,work,5,"Как бы ты описал рабочий день, после которого чувствуешь внутреннюю ясность?","Как выглядит такой рабочий день, после которого внутри становится ясно и спокойно? | Опиши день работы, по итогам которого у тебя остается чувство внутренней ясности.",одному | следующий шаг | до обеда,,developmental,descriptive,work_clarity | reflection_loop,true,false
qtx-0011,work,5,"Что меняется в группе, когда люди начинают говорить вопросами, а не ответами?","Как меняется групповая атмосфера, когда участники переходят от ответов к вопросам? | Что происходит с группой, если в разговоре становится больше вопросов, чем готовых выводов?",что лишнее | до обеда | следующий шаг,"Замечай то, что мешает увидеть уже знакомое.",advanced,descriptive,team_safe_openers | work_clarity,true,true
qtx-0012,creative,5,"Как выглядит ситуация, в которой идея еще не оформилась, но уже ощущается?","Как можно описать состояние, когда идея пока не ясна, но уже чувствуется? | На что похож момент, когда мысль еще не стала формой, но уже появилась?",наоборот | другой материал | очень мало,Дай себе право на плохие варианты — иначе хороших не будет.,advanced,descriptive,creative_breakout | deep_session_entry | question_about_questions,false,false
qtx-0013,reflection,5,"На какие типы можно разделить вопросы, которые помогают выйти из тупика?","Какие типы вопросов выводят человека из мыслительного тупика? | Как можно разложить по группам вопросы, которые помогают сдвинуться с места?",в голосе | в выборе | в теле,,developmental,classifying,reflection_loop | question_about_questions,true,false
qtx-0014,philosophy,5,Какие виды молчания возникают после сильного вопроса?,"На какие типы можно разделить молчание, которое появляется после сильного вопроса? | Какие разновидности тишины приходят вслед за действительно сильным вопросом?",если включить тело | если поменять слово | в крайнем случае,"Опирайся на свой опыт, а не на правильное звучание.",advanced,classifying,question_about_questions | team_safe_openers,false,true
qtx-0015,reflection,5,На какие группы можно разделить причины откладывания?,Какие основные группы причин лежат за привычкой откладывать? | Как можно классифицировать причины прокрастинации?,,,working,classifying,reflection_loop,true,false
qtx-0016,children,5,"Какие типы детских вопросов открывают воображение, а какие проверяют границы?","На какие группы можно разделить детские вопросы: открывающие воображение и проверяющие границы? | Какие виды вопросов детей расширяют фантазию, а какие исследуют пределы дозволенного?",глазами зверя | на ощупь | почему,,developmental,classifying,children_curiosity,true,true
qtx-0017,work,5,"Какие разновидности проектных вопросов появляются до, во время и после запуска?","Как меняются типы проектных вопросов на этапах до запуска, в процессе и после него? | На какие группы можно разбить проектные вопросы по фазам запуска?",одному | до обеда | блокер,"Замечай то, что мешает увидеть уже знакомое.",advanced,classifying,work_clarity,false,false
qtx-0018,reflection,5,Какие классы внутренних возражений мешают человеку задавать честные вопросы?,На какие типы можно разделить внутренние возражения против честного вопроса? | Какие группы внутренних остановок не дают человеку задать по-настоящему честный вопрос?,в дыхании | в избегании | в голосе,"Не оценивай ответы, просто фиксируй их по факту.",advanced,classifying,reflection_loop | deep_session_entry,false,false
qtx-0019,work,5,"Какие необычные ритуалы могут помочь команде начинать совещание с исследования, а не с защиты позиций?","Какие нестандартные ритуалы запускают в команде исследовательский режим в начале встречи? | Что можно придумать, чтобы совещание стартовало не с обороны, а с общего исследования?",следующий шаг | одному | с командой,"Замечай то, что мешает увидеть уже знакомое.",advanced,generative,team_safe_openers | work_clarity,true,true
qtx-0020,morning,5,Какие микропрактики могут превращать усталость в материал для наблюдения?,"Какие маленькие практики помогают смотреть на усталость как на данные, а не только как на помеху? | Что можно придумать, чтобы усталость становилась поводом для наблюдения, а не только для жалобы?",у окна | тихий момент | до завтрака,,developmental,generative,morning_reset | creative_breakout,true,false
qtx-0021,children,5,"Какие альтернативные способы можно использовать, чтобы ребенок сам захотел задавать вопросы?","Что можно придумать, чтобы ребенок сам потянулся к задаванию вопросов? | Какие еще способы работают на то, чтобы у ребенка возникло собственное желание спрашивать?",глазами зверя | глазами игры | на ощупь,,developmental,generative,children_curiosity | creative_breakout,true,true
qtx-0022,philosophy,5,Какие метафоры могли бы объяснить фрактальность вопроса новичку?,"Через какие метафоры можно объяснить новичку, что вопрос может ветвиться как фрактал? | Какие образные сравнения помогут впервые понять фрактальную природу вопроса?",если включить тело | если это ребёнок | если поменять слово,"Опирайся на свой опыт, а не на правильное звучание.",advanced,generative,creative_breakout | question_about_questions,false,false
qtx-0023,morning,5,Какие неожиданные форматы карточки дня могут сделать практику вопросов заразительной?,"Какие нестандартные форматы карточки дня могут вовлекать людей в практику вопросов? | Что можно придумать для карточки дня, чтобы к ней хотелось возвращаться и делиться ею?",первый звук | тихий момент | до завтрака,,developmental,generative,morning_reset | creative_breakout,true,true
qtx-0024,creative,5,Какие новые семейства упражнений можно придумать для тренировки интеллектуальной смелости?,Какие еще семейства практик могут тренировать интеллектуальную смелость? | Что можно изобрести как новые серии упражнений для развития смелости мыслить открыто?,наоборот | другой материал | как ребёнок,Дай себе право на плохие варианты — иначе хороших не будет.,limit,generative,creative_breakout | deep_session_entry,false,false
qtx-0025,philosophy,5,Что именно ты называешь сильным вопросом в этом контексте?,"Что здесь считается сильным вопросом, если говорить точно? | Когда ты говоришь ""сильный вопрос"", что именно входит в это значение сейчас?",,"Опирайся на свой опыт, а не на правильное звучание.",working,clarifying,question_about_questions | team_safe_openers,true,true
qtx-0026,philosophy,5,"Когда ты говоришь ""глубокий ответ"", что в нем должно присутствовать обязательно?","Что обязательно должно быть в ответе, чтобы ты назвал его глубоким? | Какие признаки для тебя делают ответ по-настоящему глубоким?",,"Опирайся на свой опыт, а не на правильное звучание.",working,clarifying,question_about_questions | deep_session_entry,false,false
qtx-0027,philosophy,5,"Где проходят границы понятия ""игра"" в проекте ""Игра в Вопросы""?","Что в проекте еще относится к ""игре"", а что уже нет? | Как точно очертить границы слова ""игра"" внутри проекта ""Игра в Вопросы""?",если поменять слово | если это ребёнок | в крайнем случае,"Опирайся на свой опыт, а не на правильное звучание.",advanced,clarifying,question_about_questions,false,false
qtx-0028,work,5,"Что на практике означает ""безопасное пространство для вопросов""?","Как выглядит безопасное пространство для вопросов не в лозунге, а на практике? | Что конкретно должно происходить, чтобы пространство можно было назвать безопасным для вопросов?",что лишнее | следующий шаг | до обеда,,developmental,clarifying,team_safe_openers | work_clarity,true,true
qtx-0029,work,5,"О каком результате идет речь, когда мы говорим ""вопрос должен работать""?","Какой именно результат мы имеем в виду, говоря, что вопрос ""работает""? | Что считается эффектом вопроса, если мы называем его рабочим?",до обеда | с командой | блокер,"Замечай то, что мешает увидеть уже знакомое.",advanced,clarifying,work_clarity | question_about_questions,true,false
qtx-0030,creative,5,"Что здесь считается ""необычным ответом"": форма, содержание или эффект?","Когда мы говорим о необычном ответе, что именно делаем главным: форму, содержание или эффект? | По чему здесь определяется необычность ответа: по способу, по мысли или по воздействию?",наоборот | как ребёнок | очень мало,,developmental,clarifying,creative_breakout,false,false
qtx-0031,philosophy,5,"Почему одни вопросы запускают цепочку новых вопросов, а другие обрываются сразу?","За счет чего одни вопросы ветвятся дальше, а другие быстро заканчиваются? | Почему некоторые вопросы естественно продолжаются новыми вопросами, а некоторые нет?",в крайнем случае | если включить тело | если это ребёнок,"Опирайся на свой опыт, а не на правильное звучание.",advanced,analytical,question_about_questions | deep_session_entry,false,false
qtx-0032,work,5,За счет чего в команде быстро исчезает культура спрашивания?,Какие механизмы быстрее всего убивают в команде привычку задавать вопросы? | Почему командная культура вопросов так легко схлопывается?,следующий шаг | до обеда | блокер,"Замечай то, что мешает увидеть уже знакомое.",advanced,analytical,team_safe_openers | work_clarity,false,true
qtx-0033,philosophy,5,Какие скрытые допущения делают вопрос банальным?,Какие неявные предпосылки превращают вопрос в банальность? | Из-за каких скрытых допущений вопрос звучит плоско и предсказуемо?,если поменять слово | в крайнем случае | если это ребёнок,"Опирайся на свой опыт, а не на правильное звучание.",advanced,analytical,question_about_questions | deep_session_entry,false,false
qtx-0034,reflection,5,Почему человек чаще задает удобные вопросы вместо честных?,"Почему нам легче формулировать удобные вопросы, чем честные? | Какие причины ведут к выбору удобного вопроса вместо по-настоящему честного?",в выборе | в дыхании | в избегании,"Не оценивай ответы, просто фиксируй их по факту.",advanced,analytical,reflection_loop | deep_session_entry,false,false
